name,Country,Region,Municipality,latitude,longitude
Aleknagik / New Airport,US,US-AK,Aleknagik,64.4459613,-149.680909
Khost International Airport (U.C.),AF,AF-KHO,Khost,33.4014634,69.8912294
Honiara International Airport,SB,SB-CT,Honiara,37.4619465,14.5675567
Munda Airport,SB,SB-WE,,48.1670154,14.0346396105263
Hongyuan Airport,CN,CN-51,Aba,29.37129905,104.838548527811
Nauru International Airport,NR,NR-14,Yaren District,48.4243912,14.2455308
YKCY,AU,AU-QLD,Kilcoy,-22.1646782,144.5844903
Alxa Left Banner Bayanhot Airport,CN,CN-15,Bayanhot,29.32290515,104.753550946817
Buka Airport,PG,PG-NSB,Buka Island,,
Chimbu Airport,PG,PG-CPK,Kundiawa,,
Daru Airport,PG,PG-WPD,Daru,,
Goroka Airport,PG,PG-EHG,Goronka,-9.4695562,147.1625003
Gurney Airport,PG,PG-MBA,Gurney,,
Girua Airport,PG,PG-NPP,Popondetta,,
Kimbe Airport,PG,PG-WBK,Hoskins,,
Kerema Airport,PG,PG-GPK,Kerema,,
Kavieng Airport,PG,PG-NIK,Kavieng,,
Madang Airport,PG,PG-MPM,Madang,42.4319902,19.2375782
Mount Hagen Kagamuga Airport,PG,PG-WHM,Mount Hagen,,
Mendi Airport,PG,PG-SHM,Mendi,,
Momote Airport,PG,PG-MRL,Manus Island,,
Nadzab Airport,PG,PG-MPL,Lae,,
Port Moresby Jacksons International Airport,PG,PG-NCD,Port Moresby,,
Tokua Airport,PG,PG-EBR,Tokua,,
Vanimo Airport,PG,PG-SAN,Vanimo,43.1070321,12.4029962099065
Wapenamanda Airport,PG,PG-EPW,,,
Wewak International Airport,PG,PG-ESW,Wewak,,
Zabrat Airport,AZ,AZ-BA,Baku,44.973576,16.840985151247
Sital Chay Airport,AZ,AZ-XIZ,,,
Kyzylagadzh Air Base,AZ,AZ-MAS,,30.433333,31.4
Benguera Island Airport,MZ,MZ-I,Benguera Island,-29.7164058,-57.1104241
Bezmer Air Base,BG,BG-28,Yambol,42.7112038,23.4138171
Aasiaat Airport,GL,GL-U-A,Aasiaat,67.0168343,-50.691633
Narsarsuaq Airport,GL,GL-U-A,Narsarsuaq,67.0168343,-50.691633
Godthaab / Nuuk Airport,GL,GL-U-A,Nuuk,67.0168343,-50.691633
Kangerlussuaq Airport,GL,GL-U-A,Kangerlussuaq,67.0168343,-50.691633
Thule Air Base,GL,GL-U-A,Thule,67.0168343,-50.691633
Akureyri Airport,IS,IS-6,Akureyri,44.3010214,-76.1849849758581
EgilsstaÃƒÂ°ir Airport,IS,IS-7,EgilsstaÃƒÂ°ir,53.3490106,-6.34581443908862
HornafjÃƒÂ¶rÃƒÂ°ur Airport,IS,IS-8,HÃƒÂ¶fn,42.80626835,-84.9054624921015
HÃƒÂºsavÃƒÂ­k Airport,IS,IS-6,HÃƒÂºsavÃƒÂ­k,44.3010214,-76.1849849758581
ÃƒÂsafjÃƒÂ¶rÃƒÂ°ur Airport,IS,IS-4,ÃƒÂsafjÃƒÂ¶rÃƒÂ°ur,51.6536572,-1.17184522059852
Keflavik International Airport,IS,IS-2,ReykjavÃƒÂ­k,53.6720507,23.871799
Reykjavik Airport,IS,IS-1,Reykjavik,37.0008573,-86.4263299
SiglufjÃƒÂ¶rÃƒÂ°ur Airport,IS,IS-6,SiglufjÃƒÂ¶rÃƒÂ°ur,44.3010214,-76.1849849758581
Vestmannaeyjar Airport,IS,IS-8,Vestmannaeyjar,42.80626835,-84.9054624921015
PriÃ…Â¡tina International Airport,XK,XK-01,Prishtina,41.6566333,-83.622125
Duplicate - Kempegowda International Airport Bengaluru,IN,IN-KA,Bengaluru,35.4982161,23.9950879
Balbasovo Air Base,BY,BY-VI,Orsha,53.59457655,23.7803534897629
Bobrovichi Air Base,BY,BY-HO,Kalinovichi,53.9084628,27.5491499
Osovtsy Air Base,BY,BY-BR,Byaroza,53.4250605,27.6971358
Big Creek Airport,BZ,BZ-SC,Big Creek,45.7048465,10.5012849
Caye Caulker Airport,BZ,BZ-BZ,Caye Caulker,47.1328233,9.94547627500001
Caye Chapel Airport,BZ,BZ-BZ,Caye Chapel,47.1328233,9.94547627500001
Corozal Municipal Airport,BZ,BZ-CZL,Corozal,36.27503015,6.62240355717405
Dangriga Airport,BZ,BZ-SC,Dangriga,45.7048465,10.5012849
Placencia Airport,BZ,BZ-SC,Placencia,45.7048465,10.5012849
Punta Gorda Airport,BZ,BZ-TOL,Punta Gorda,52.0274112,4.8762522
Sartaneja Airport,BZ,BZ-CZL,Sartaneja,36.27503015,6.62240355717405
San Pedro Airport,BZ,BZ-CY,San Pedro,51.13817865,-0.1617922892
Belize City Municipal Airport,BZ,BZ-BZ,Belize City,47.1328233,9.94547627500001
Bazaruto Island Airport,MZ,MZ-I,Bazaruto Island,-29.7164058,-57.1104241
Cycd,CA,CA-BC,Nanaimo,55.001251,-125.002441
Nanjing Air Base,CN,CN-32,Nanjing,-8.594853,116.1363167
Laohutun Air Base,CN,CN-21,,24.69985575,113.637926926034
Pulandian Air Base,CN,CN-21,,24.69985575,113.637926926034
Beijing Shahezhen Air Base,CN,CN-11,Beijing,29.31907365,104.765410502473
Beijing Tongxian Air Base,CN,CN-11,Beijing,29.31907365,104.765410502473
Yinchuan Hedong International Airport,CN,CN-64,Yinchuan,-8.5998626,116.145966
Duplicate --Yantai Penglai International Airport,CN,CN-U-A,Yantai,23.1288464,113.2698745
Yuanmou Air Base,CN,CN-53,Yuanmou,-8.5876247,116.1343175
Fengning Air Base,CN,CN-13,,,
Hohhot Air Base,CN,CN-15,,29.32290515,104.753550946817
Huairen Air Base,CN,CN-14,Datong,31.1651115,121.244042339066
Liangxiangzhen Air Base,CN,CN-11,Beijing,29.31907365,104.765410502473
Tangguantun Air Base,CN,CN-12,,31.1661716,121.250339335082
Wenshui Air Base,CN,CN-14,,31.1651115,121.244042339066
Yangcun Air Base,CN,CN-12,,,
Yongning Air Base,CN,CN-11,Yongning,29.31907365,104.765410502473
Zhangjiakou Ningyuan Airport,CN,CN-13,Zhangjiakou,31.1658177,121.24827466956
Zunhua Air Base,CN,CN-13,,31.1658177,121.24827466956
Chengdu Air Base,CN,CN-51,,29.37129905,104.838548527811
Baoshan Yunduan Airport,CN,CN-53,,-8.5876247,116.1343175
Chongqing Air Base,CN,CN-50,Chongqing,,
Lintsang Airfield,CN,CN-53,Lincang,,
Luliang Air Base,CN,CN-53,,,
Mengzi Air Base,CN,CN-53,,-8.5876247,116.1343175
Qionglai Air Base,CN,CN-51,,29.37129905,104.838548527811
Shigatse Air Base,CN,CN-54,XigazÃƒÂª,-8.6005901,116.1287882
Wenshan Air Base,CN,CN-53,,-8.5876247,116.1343175
Xiangyun Midu Air Base,CN,CN-53,,-8.5876247,116.1343175
Bao'anying Airport,CN,CN-51,Panzhihua,29.37129905,104.838548527811
Baihe Ning Ming Air Base,CN,CN-45,,-8.5759151,116.1300314
Changsha Datuopu Airport/AFB,CN,CN-43,Changsha,22.310973,113.9270278
