airport,latitude,longitude,municipality,country,country_code,city,state,postal_code,calling_code,timezone
Total Rf Heliport,40.07080078125,-74.93360137939453,Bensalem,United States,US-PA,Bensalem Township,Pennsylvania,08010,1,America/New_York
Aero B Ranch Airport,38.704022,-101.473911,Leoti,United States,US-KS,,Kansas,,1,America/New_York
Lowell Field,59.94919968,-151.695999146,Anchor Point,United States,US-AK,,Alaska,,1,America/New_York
Epps Airpark,34.86479949951172,-86.77030181884766,Harvest,United States,US-AL,,Alabama,35749,1,America/New_York
Newport Hospital & Clinic Heliport,35.6087,-91.254898,Newport,United States,US-AR,,Arkansas,72112,1,America/New_York
Fulton Airport,34.9428028,-97.8180194,Alex,United States,US-OK,,Oklahoma,73002,1,America/New_York
Cordes Airport,34.305599212646484,-112.16500091552734,Cordes,United States,US-AZ,,Arizona,86333,1,America/New_York
Goldstone /Gts/ Airport,35.350498199499995,-116.88800048799999,Barstow,United States,US-CA,,California,,1,America/New_York
Williams Ag Airport,39.427188,-121.763427,Biggs,United States,US-CA,,California,,1,America/New_York
Kitchen Creek Helibase Heliport,32.7273736,-116.4597417,Pine Valley,United States,US-CA,,California,,1,America/New_York
Cass Field,40.622202,-104.344002,Briggsdale,United States,US-CO,,Colorado,80611,1,America/New_York
Grass Patch Airport,28.64550018310547,-82.21900177001953,Bushnell,United States,US-FL,,Florida,33513,1,America/New_York
Ringhaver Heliport,28.846599578857425,-82.34539794921875,Riverview,United States,US-FL,,Florida,34453,1,America/New_York
River Oak Airport,27.230899810791016,-80.96920013427734,Okeechobee,United States,US-FL,,Florida,34974,1,America/New_York
Lt World Airport,33.767501831054695,-84.06829833984375,Lithonia,United States,US-GA,,Georgia,30039,1,America/New_York
Caffrey Heliport,33.884201049804695,-84.73390197753906,Hiram,United States,US-GA,,Georgia,30073,1,America/New_York
Kaupulehu Heliport,19.832715,-155.980233,Kailua-Kona,United States,US-HI,Kailua-Kona,Hawaii,,1,America/New_York
Delta Shores Airport,48.145301818847656,-116.21399688720705,Clark Fork,United States,US-ID,,Idaho,83811,1,America/New_York
Goltl Airport,39.724028,-101.395994,McDonald,United States,US-KS,,Kansas,,1,America/New_York
Bailey Generation Station Heliport,41.64450073242188,-87.122802734375,Chesterton,United States,US-IN,,Indiana,,1,America/New_York
Hammer Airport,41.97840118408203,-89.5604019165039,Polo,United States,US-IL,Polo,Illinois,61064,1,America/New_York
St Mary Medical Center Heliport,41.51139831542969,-87.2605972290039,Hobart,United States,US-IN,Hobart,Indiana,46342,1,America/New_York
Hayenga's Cant Find Farms Airport,40.02560043334961,-89.1229019165039,Kings,United States,US-IL,,Illinois,62543,1,America/New_York
Hayden Farm Airport,38.72779846191406,-94.93049621582031,Gardner,United States,US-KS,,Kansas,,1,America/New_York
Robbins Roost Airport,37.409400939941406,-84.61969757080078,Stanford,United States,US-KY,,Kentucky,40489,1,America/New_York
Shell Chemical East Site Heliport,30.191944,-90.980833,Gonzales,United States,US-LA,,Louisiana,70737-5510,1,America/New_York
Ac & R Components Heliport,39.66529846191406,-89.70559692382812,Chatham,United States,US-IL,,Illinois,62629,1,America/New_York
Lejeune Airport,30.13629913330078,-92.4293975830078,Esterwood,United States,US-LA,,Louisiana,70559,1,America/New_York
Slater Field,38.75709915161133,-75.75379943847656,Federalsburg,United States,US-MD,,Maryland,21632,1,America/New_York
Dow Chemical Heliport,43.94940185546875,-86.41670227050781,Ludington,United States,US-MI,,Michigan,49431,1,America/New_York
Battle Lake Municipal Airport,46.29999923706055,-95.70030212402344,Battle Lake,United States,US-MN,Battle Lake,Minnesota,56515,1,America/New_York
Cooper Flying Service Airport,37.202800750732,-94.412399291992,Alba,United States,US-MO,Oronogo,Missouri,64870,1,America/New_York
Sands Ranch Airport,48.53721,-109.705492,Havre,United States,US-MT,,Montana,59501,1,America/New_York
Bucks Airport,39.47320175170898,-75.1852035522461,Bridgeton,United States,US-NJ,,New Jersey,08302,1,America/New_York
North Raleigh Airport,36.08520126342773,-78.37139892578125,Louisburg,United States,US-NC,,North Carolina,27525,1,America/New_York
Colgate-Piscataway Heliport,40.52090072631836,-74.47460174560547,New Brunswick,United States,US-NJ,,New Jersey,08854,1,America/New_York
Cliche Cove Seaplane Base,44.8118612,-73.3698057,Beekmantown,United States,US-NY,,New York,12901,1,America/New_York
Weiss Airfield,42.90010070800781,-77.49970245361328,West Bloomfield,United States,US-NY,,New York,14469,1,America/New_York
Exit 3 Airport,41.590476,-84.141583,Wauseon,United States,US-OH,,Ohio,43515,1,America/New_York
Miami Valley Hospital Heliport,39.74530029296875,-84.1874008178711,Dayton,United States,US-OH,Dayton,Ohio,45409,1,America/New_York
Gull Bay Landing Airport,36.198598,-96.217693,Sandsprings,United States,US-OK,Sand Springs,Oklahoma,,1,America/New_York
Steel Systems Heliport,44.932899475097656,-123.12999725341795,Salem,United States,US-OR,,Oregon,97304,1,America/New_York
R J D Heliport,39.94889831542969,-75.74690246582031,Coatesville,United States,US-PA,West Bradford Township,Pennsylvania,19308,1,America/New_York
Ferrell Field,41.2995,-80.211111,Mercer,United States,US-PA,Coolspring Township,Pennsylvania,16137,1,America/New_York
Thomas Field,40.3778,-77.365303,Loysville,United States,US-PA,,Pennsylvania,17047,1,America/New_York
Mc Kenzie Bridge State Airport,44.1832008362,-122.08899688700001,Mc Kenzie Bridge,United States,US-OR,,Oregon,97413,1,America/New_York
Flying O Airport,34.0093994140625,-80.26719665527344,Sumter,United States,US-SC,,South Carolina,29153,1,America/New_York
Homan Field,44.809158,-96.498897,Gary,United States,US-SD,,South Dakota,57237,1,America/New_York
SW Region FAA Heliport,32.8269,-97.305801,Fort Worth,United States,US-TX,Fort Worth,Texas,76137,1,America/New_York
Tcjc-Northeast Campus Heliport,32.847599029541016,-97.1894989013672,Fort Worth,United States,US-TX,Hurst,Texas,76054,1,America/New_York
Ragsdale Road Airport,35.515899658203125,-85.95359802246094,Manchester,United States,US-TN,,Tennessee,37355,1,America/New_York
Alpine Range Airport,32.607601165771484,-97.24199676513672,Everman,United States,US-TX,,Texas,76140,1,America/New_York
San Jacinto Methodist Hospital Heliport,29.7377,-94.980201,Baytown,United States,US-TX,,Texas,77520,1,America/New_York
Clear Creek Ranch Airport,37.247799,-112.821998,Kanab,United States,US-UT,,Utah,,1,America/New_York
Vaughan Airport,36.57600021,-78.9991684,Alton,United States,US-VA,,Virginia,24520,1,America/New_York
Groundhog Mountain Airport,36.66329956054688,-80.49949645996094,Hillsville,United States,US-VA,,Virginia,,1,America/New_York
Lower Granite State Airport,46.67350006103501,-117.44300079346,Colfax,United States,US-WA,,Washington,,1,America/New_York
Howell Airport,47.17839813232422,-122.77200317382812,Longbranch,United States,US-WA,,Washington,98351,1,America/New_York
Northern Lite Airport,44.304298400878906,-89.05010223388672,Waupaca,United States,US-WI,,Wisconsin,54981,1,America/New_York
Hawks Run Airport,46.25,-117.2490005493164,Asotin,United States,US-WA,,Washington,,1,America/New_York
Lazy J. Aerodrome,38.82889938354492,-79.86609649658203,Beverly,United States,US-WV,,West Virginia,26253,1,America/New_York
Mountain View Regional Hospital Heliport,42.840361,-106.224443,Casper,United States,US-WY,Casper,Wyoming,82609,1,America/New_York
L P Askew Farms Airport,33.033401489257805,-101.93399810791016,O'Donnell,United States,US-TX,,Texas,79373,1,America/New_York
Purkeypile Airport,62.94359970092773,-152.27000427246094,Purkeypile,United States,US-AK,,Alaska,,1,America/New_York
Providence Seward Medical Center Heliport,60.1058739754,-149.446249008,Seward,United States,US-AK,,Alaska,99664,1,America/New_York
Ware Island Airport,32.945999145507805,-86.51390075683594,Clanton,United States,US-AL,,Alabama,35046,1,America/New_York
Community Hospital of De Queen Heliport,34.047298431396484,-94.35489654541016,De Queen,United States,US-AR,,Arkansas,71832,1,America/New_York
Yat Heliport,34.60810089111328,-111.86499786376952,Camp Verde,United States,US-AZ,,Arizona,86322,1,America/New_York
Grant Airport,43.341701507568,-85.775001525879,Grant,United States,US-MI,,Michigan,49327,1,America/New_York
Lugo Substation Heliport,34.368240591699994,-117.370058745,Hesperia,United States,US-CA,,California,92344,1,America/New_York
Swansboro Country Airport,38.79990005493164,-120.73400115966795,Placerville,United States,US-CA,,California,95667,1,America/New_York
Los Angeles County Sheriff's Department Heliport,34.03779983520508,-118.15399932861328,Los Angeles,United States,US-CA,,California,91754,1,America/New_York
St Vincent General Hospital Heliport,39.24530029296875,-106.24600219726562,Leadville,United States,US-CO,,Colorado,80461,1,America/New_York
Berlin Fairgrounds Heliport,41.62730026245117,-72.72750091552734,Berlin,United States,US-CT,,Connecticut,06023,1,America/New_York
Rybolt Ranch Airport,28.589399337768555,-81.14420318603516,Orlando,United States,US-FL,Alafaya,Florida,32820,1,America/New_York
Advent Health Altamonte Springs Heliport,28.666639,-81.3697,Altamonte Springs,United States,US-FL,,Florida,32701,1,America/New_York
Cedar Knoll Flying Ranch Airport,28.78190040588379,-81.1592025756836,Geneva,United States,US-FL,,Florida,32732,1,America/New_York
Medical Center Heliport,32.47930145263672,-84.9791030883789,Columbus,United States,US-GA,Columbus,Georgia,31901,1,America/New_York
The Farm Airport,32.674400329589844,-82.77110290527344,Wrightsville,United States,US-GA,,Georgia,,1,America/New_York
Stender Airport,41.66109848022461,-90.74130249023438,Maysville,United States,US-IA,,Iowa,52773,1,America/New_York
Lava Hot Springs Airport,42.6082,-112.031998,Lava Hot Springs,United States,US-ID,,Idaho,83246,1,America/New_York
Myers Field,39.8849983215332,-86.50669860839844,Lizton,United States,US-IN,,Indiana,46149,1,America/New_York
Hoopeston Community Memorial Hospital Heliport,40.45859909057617,-87.65950012207031,Hoopeston,United States,US-IL,,Illinois,60942,1,America/New_York
Community Hospital Heliport,40.13090133666992,-85.69580078125,Anderson,United States,US-IN,,Indiana,46011,1,America/New_York
William E. Koenig Airport,39.01620101928711,-90.31819915771484,Dow,United States,US-IL,,Illinois,62022,1,America/New_York
