airport,latitude,longitude,municipality,country,country_code,city,state,postal_code,calling_code,timezone
Siachen Glacier AFS Airport,35.5,77.0,,India,IN-JK,,Arunachal Pradesh,790104,91,Asia/Kolkata
Tawang Air Force Station,27.58846092224121,91.87769317626952,,India,IN-AR,,Ladakh,,91,Asia/Kolkata
Daulat Beg Oldi Advanced Landing Ground,35.3964667088,77.92896509170002,,India,IN-JK,,Ladakh,0194101,91,Asia/Kolkata
Leh Helipad,34.12866973876953,77.53653717041016,,India,IN-JK,,Tamil Nadu,627714,91,Asia/Kolkata
Kayathar Airstrip,8.971388816833496,77.82062530517578,,India,IN-TN,,Tamil Nadu,623103,91,Asia/Kolkata
Chettinad Airstrip,10.164996147155762,78.79376983642578,,India,IN-TN,,Lakshadweep,,91,Asia/Kolkata
Minicoy Helipad,8.273630142211914,73.02230072021484,Minicoy Island,India,IN-LD,,Lakshadweep,262240,91,Asia/Kolkata
Kavaratti Helipad,10.541667938232422,72.61604309082031,,India,IN-LD,Gangtok,Sikkim,737101,91,Asia/Kolkata
Gangtok Helipad,27.355697631835927,88.61410522460938,,India,IN-SK,,Arunachal Pradesh,,91,Asia/Kolkata
Walong Advanced Landing Ground,28.12967300415,97.01966094970699,,India,IN-AR,Bengaluru,Karnataka,560092,91,Asia/Kolkata
Jakkur Aerodrome,13.07674,77.597645,Bengaluru,India,IN-KA,,Sikkim,737133,91,Asia/Kolkata
Pakyong Airport (Under Construction),27.2313,88.58719599999998,,India,IN-SK,,Telangana,500076,91,Asia/Kolkata
Nadirgul Airport,17.3060665131,78.5604858398,,India,IN-TG,,Manipur,795002,91,Asia/Kolkata
Koirengei Airstrip,24.87245941162109,93.9256820678711,,India,IN-MN,,Meghalaya,,91,Asia/Kolkata
Baljek Airport,25.661487579345703,90.34503936767578,,India,IN-ML,,Assam,786182,91,Asia/Kolkata
Ledo Airfield,27.3025,95.737222,,India,IN-AS,,West Bengal,721507,91,Asia/Kolkata
Dudhkundi Airfield,22.324591568800006,87.10741996770003,,India,IN-WB,,West Bengal,721127,91,Asia/Kolkata
Piardoba Airfield,22.9895085468,87.2995948792,,India,IN-WB,,Assam,,91,Asia/Kolkata
Dinjan Airfield,27.538017,95.269447,,India,IN-AS,,Tamil Nadu,606107,91,Asia/Kolkata
Ulundurpet Airstrip,11.6885487471,79.3213748932,,India,IN-TN,Mumbai,Maharashtra,400005,91,Asia/Kolkata
Shikra Naval Helibase,18.913345681200003,72.8292113543,Mumbai,India,IN-MM,Mumbai,Maharashtra,400005,91,Asia/Kolkata
Kunjali Helipad,18.895273369,72.8084939718,Mimbai,India,IN-MM,Amreli,Gujarat,364600,91,Asia/Kolkata
Amreli Airstrip,21.6198508623,71.22333526610002,Amreli,India,IN-GJ,,Maharashtra,413102,91,Asia/Kolkata
Baramati Airport,18.226944,74.59083299999998,Pune,India,IN-MM,Faizabad,Uttar Pradesh,224001,91,Asia/Kolkata
Faizabad Airport,26.7511282,82.15436509999998,Faizabad,India,IN-UP,Korba,Chhattisgarh,495600,91,Asia/Kolkata
Korba Airport,22.4141666667,82.7194444444,Rumgara,India,IN-CT,Aizawl,Mizoram,796190,91,Asia/Kolkata
Thuampui Helipad,23.7458666667,92.7367333333,,India,IN-MZ,,Mizoram,796701,91,Asia/Kolkata
Pukpui Helipad,22.9422666667,92.76885,,India,IN-MZ,,Mizoram,796691,91,Asia/Kolkata
Lunglei Helipad,22.8683833333,92.7633,,India,IN-MZ,,Mizoram,796181,91,Asia/Kolkata
Serchhip Helipad,23.32875,92.85606666670002,Serchhip,India,IN-MZ,,Mizoram,796101,91,Asia/Kolkata
Vairengte Helipad,24.4789166667,92.7539333333,,India,IN-MZ,,Mizoram,796901,91,Asia/Kolkata
Saiha Helipad,22.4885833333,92.98695,Saiha,India,IN-MZ,,Maharashtra,410400,91,Asia/Kolkata
Aamby Valley Airport,18.6096166667,73.37758333330002,Aamby Valley City,India,IN-MM,Nashik,Maharashtra,422001,91,Asia/Kolkata
Vijay Nagar Airport,19.8841,73.84056666670001,Vijay Nagar,India,IN-MM,Siliguri,West Bengal,734003,91,Asia/Kolkata
Sevoke Road Indian Army Heliport,26.7744,88.4523166667,Salugara,India,IN-WB,,Sikkim,737113,91,Asia/Kolkata
Pelling Helipad,27.3005,88.23085,Pelling City,India,IN-SK,,Sikkim,737126,91,Asia/Kolkata
Namchi Helipad,27.1567333333,88.32206666670002,Nayabazar,India,IN-SK,Gangtok,Sikkim,737101,91,Asia/Kolkata
Upper Tadong Indian Army Helipad,27.3067166667,88.59965,Upper Tadong,India,IN-SK,Darjeeling,West Bengal,734104,91,Asia/Kolkata
Lebong Helipad,27.0590833333,88.2777333333,Lebong,India,IN-WB,,West Bengal,737133,91,Asia/Kolkata
Pedong Helipad,27.1559333333,88.61065,Pedong,India,IN-SK,Shillong,Meghalaya,793001,91,Asia/Kolkata
HQ Eastern Air Command Helipad,25.5381833333,91.82655,Myliem,India,IN-ML,Shillong,Meghalaya,793001,91,Asia/Kolkata
Shillong Indian Army Helipad,25.54425,91.8817166667,Shillong,India,IN-ML,,Manipur,795006,91,Asia/Kolkata
STC BSF Indian Army Helipad,24.3267,93.67546666670002,Gangpimual,India,IN-MN,,Punjab,144020,91,Asia/Kolkata
PAP Complex Heliport,31.2920833333,75.6072,Jalandhar,India,IN-PB,Imphal,Manipur,795001,91,Asia/Kolkata
Catholic Medical Centre Helipad,24.8062,93.94275,Kangla,India,IN-MN,Mumbai,Maharashtra,400015,91,Asia/Kolkata
