first_name,last_name,gender,t_first_name,t_last_name
मुहम्मद,पाटिल,Male,Muhammad,Patil
आरव,शर्मा,Male,Aarav,Sharma
अर्जुन,आचार्य,Male,Arjun,Acharya
रायन,अग्रवाल,Male,Ryan,Aggarwal
आद्विक,सिंह,Male,Advik,Singh
अथर्व,अहलुवालिया,Male,Atharva,Ahluwalia
रेयांश,आहूजा,Male,Reyansh,Ahuja
अयान,पुष्कर,Male,Ayan,Pushkar
विहान,शिरोळे,Male,Vihaan,Shirole
साई,गायकवाड,Male,Sai,Gaikwad
अद्वैत,गावित,Male,Advaita,Gavit
शौर्य,शिरोळे,Male,Shaurya,Shirole
विआन,बापट,Male,Vian,bapt
आरुष,अरोड़ा,Male,Aarusha,Arora
इशान,बाबू,Male,Ishan,Babu
अयांश,बादामी,Male,Ayansh,Badami
पार्थ,जमानत,Male,Parth,bail
देन्यल,बजाज,Male,Denyal,Bajaj
किआन,बक्षी,Male,Kian,bakshi
विवान,बालकृष्णन,Male,Vivaan,Balakrishnan
आद्या,बालासुब्रमणियम,Female,Adya,Balasubramaniam
अनन्या,बसु,Female,Ananya,Basu
शनाया,भंडारी,Female,Shanaya,Bhandari
फ़ातिमा,चौधरी,Female,Fatima,Chaudhary
श्री,चौहान,Female,Shri,Chauhan
अनाया,छाबरा,Female,Anaya,Chhabra
अनिका,दादा,Female,Anika,Dada
मायरा,डानी,Female,Myra,Dani
इनाया,डार,Female,Inaya,Dar
अमायरा,दारा,Female,Amaira,Dara
आन्वी,दत्ता,Female,Anvi,Dutta
स्वरा,दवे,Female,Swara,Dave
ज़ारा,दयाल,Female,Zara,Dayal
मरियम,धालीवाल,Female,Maryam,Dhaliwal
आराध्या,दीक्षित,Female,Aaradhya,Dixit
तन्वी,दोषी,Female,Tanvi,guilty
दीया,दुआ,Female,Dia,dua
अद्विका,दूबे,Female,Advika,dubey
ईवा,ढींगरा,Female,Eva,Dhingra
आव्या,वाल,Female,Avya,Wall
अभय,साया,Male,Abhay,Saya
आदित्य,बना,Male,Aditya,composed
अजित,ड़ाल,Male,Ajit,dal
अखिल,गर्ग,Male,Akhil,Garg
अमर,गणेश,Male,Amar,Ganesh
आनन्द,गांगुली,Male,Anand,Ganguly
अंकुर,गुप्ता,Male,Ankur,Gupta
अनुपम,हेगडे,Male,Anupam,Hegde
अशोक,जोशी,Male,Ashok,Joshi
चन्दना,काले,Female,Moonlight,black
गणेश,कृष्णा,Male,Ganesh,Krishna
गौतम,कृष्णमूर्ति,Male,Gautham,Krishnamurthy
गोविंदा,कृष्णन,Male,Govinda,Krishnan
हनुमान्,कुलकर्णी,Male,Hanuman,Kulkarni
इन्द्रजित,कुमार,Male,Indrajit,Kumar
ईश,कुण्डा,Female,Ish,kunda
जगदीश,रामलला,Male,Jagdish,Ramlala
जयदेव,लता,Male,Jayadev,lata
जितेन्द्र,लोदी,Male,Jitendra,Lodi
कैलाश,लोकनाट्यों,Male,Kailash,Lokanatyas
कालिदास,विकावि,Male,Kalidas,Vikavi
कम्बोज,लाल,Male,Kamboj,Red
किरण,लाला,Female,Kiran,Lala
ललित,वफादार,Male,Fine,loyal
मानदीप,लूथरा,Male,Mandeep,Luthra
मोहन,मदन,Male,Mohan,Madan
मुकेश,मगर,Male,Mukesh,Magar
नरेन्द्र,भारत,Male,Narendra,India
नारायण,महावीर,Male,Narayan,Mahavir
निखिल,महादेव,Male,Nikhil,Mahadev
